,swaps,mints,burns,collects,transfers,total
21136445,9,0,0,0,99,211
21136446,12,0,0,0,74,140
21136447,12,0,0,0,73,127
21136448,15,0,0,1,123,212
21136449,8,0,0,0,84,157
21136450,13,0,0,0,89,152
21136451,12,0,0,0,105,197
21136452,15,0,0,0,95,173
21136453,3,0,0,0,33,79
21136454,30,0,0,0,147,244
21136455,21,0,0,0,101,176
21136456,1,0,0,0,23,64
21136457,17,0,0,1,143,271
21136458,9,0,0,0,52,112
21136459,12,0,0,0,87,202
21136460,8,2,0,0,102,160
21136461,15,0,0,0,107,222
21136462,2,0,0,0,38,92
21136463,9,0,0,0,103,234
21136464,3,0,0,0,77,162
21136465,21,0,0,0,133,215
21136466,15,0,0,0,120,175
21136467,17,0,0,0,137,257
21136468,1,0,0,0,44,97
21136469,22,1,0,0,167,266
21136470,12,0,0,0,77,142
21136471,23,0,0,1,106,155
21136472,16,1,0,0,140,255
21136473,6,0,0,0,94,184
21136474,18,1,0,2,86,161
21136475,11,0,0,0,66,130
21136476,9,0,0,0,75,137
21136477,20,0,0,0,118,237
21136478,5,1,0,0,79,143
21136479,12,0,0,0,126,247
21136480,3,0,0,0,60,129
21136481,15,0,0,1,73,145
21136482,7,0,0,0,106,197
21136483,11,0,0,0,96,158
21136484,15,0,0,0,142,290
21136485,12,0,0,0,86,159
21136486,13,0,0,0,78,160
21136487,3,0,0,0,74,162
21136488,6,0,0,0,99,175
21136489,16,0,0,0,108,189
21136490,3,0,0,0,66,177
21136491,22,1,0,0,135,268
21136492,11,0,0,0,76,150
21136493,3,0,0,0,128,201
21136494,12,0,0,0,176,264
21136495,7,0,0,0,89,198
21136496,0,0,0,0,30,75
21136497,9,0,0,1,131,280
21136498,6,0,0,0,95,179
21136499,8,0,0,0,66,146
21136500,6,1,0,0,93,192
21136501,10,0,0,1,82,169
21136502,8,0,0,0,63,136
21136503,7,0,0,0,61,139
21136504,4,0,0,1,102,193
21136505,21,1,0,0,187,280
21136506,9,0,0,0,85,141
21136507,0,0,0,0,39,74
21136508,10,0,0,0,96,185
21136509,2,0,0,0,25,76
21136510,22,1,0,0,145,264
21136511,4,0,0,0,58,138
21136512,7,0,0,0,111,210
21136513,8,0,0,0,94,191
21136514,5,1,0,1,63,136
21136515,11,0,0,0,83,186
21136516,7,0,0,0,127,188
21136517,2,0,0,0,49,104
21136518,10,0,0,1,144,235
21136519,3,0,0,0,84,161
21136520,2,0,0,0,63,168
21136521,6,0,0,1,79,155
21136522,7,0,0,0,133,206
21136523,1,0,0,0,28,87
21136524,11,2,0,2,128,221
21136525,9,0,0,0,125,240
21136526,11,0,0,0,93,165
21136527,7,1,0,0,92,195
21136528,3,0,0,1,86,165
21136529,13,0,0,0,93,194
21136530,6,0,0,0,82,165
21136531,18,1,0,0,76,143
21136532,8,0,0,0,130,240
21136533,11,0,0,0,108,187
21136534,16,0,0,0,82,138
21136535,13,0,0,0,94,170
21136536,14,0,0,0,83,196
21136537,8,0,0,0,103,193
21136538,9,0,0,0,79,153
21136539,6,0,0,0,57,137
21136540,15,1,0,0,190,291
21136541,8,0,0,0,81,154
21136542,10,0,0,0,75,150
21136543,15,0,0,0,100,207
21136544,1,0,0,0,45,93
